feature_name,source
product_title,Original product information
product_id,Original product information
handle,Original product information
reviews_rating,Other/Processed Feature
reviews_rating_count,Other/Processed Feature
mm-google-shopping_custom_product,Other/Processed Feature
metafield_scx_composition_gáspea_lona_100_algodão_orgâni,TF-IDF from product metafields
metafield_scx_composition_parte_superior_cordura_forro_m,TF-IDF from product metafields
metafield_scx_composition_80_algodão_17_poliamida_3_elas,TF-IDF from product metafields
metafield_scx_composition_parte_superior_burel_resistent,TF-IDF from product metafields
metafield_scx_composition_parte_superior_100_suede_premi,TF-IDF from product metafields
metafield_scx_composition_gáspea_suede_sola_100_tpr_vega,TF-IDF from product metafields
metafield_scx_composition_parte_superior_100_pele_premiu,TF-IDF from product metafields
metafield_scx_composition_parte_superior_bombazine_vegan,TF-IDF from product metafields
metafield_scx_composition_pirâmide_olfativa_notas_de_top,TF-IDF from product metafields
metafield_scx_composition_50_pre_consumer_recycle_cotton,TF-IDF from product metafields
metafield_scx_composition_sola_tr_corte_leather_premium_,TF-IDF from product metafields
metafield_scx_composition_gáspea_sola_100_tpr_vegan_palm,TF-IDF from product metafields
metafield_scx_composition_parte_superior_100_pes_forro_m,TF-IDF from product metafields
metafield_scx_composition_parte_superior_100_polyester_f,TF-IDF from product metafields
metafield_scx_composition_50_preconsumed_recycled_cotton,TF-IDF from product metafields
metafield_scx_composition_42_linen_10_polyester_31_recyc,TF-IDF from product metafields
metafield_scx_composition_english_embroidery_watercolor_,TF-IDF from product metafields
metafield_scx_composition_50_preconumed_recycled_cotton_,TF-IDF from product metafields
metafield_scx_composition_29_algodão_reciclado_grs_29_al,TF-IDF from product metafields
metafield_scx_composition_hairy_suede_premium_leather,TF-IDF from product metafields
metafield_scx_composition_hairy_suede_premium_suede,TF-IDF from product metafields
metafield_scx_composition_100_bci,TF-IDF from product metafields
metafield_custom_certificao_certificado_gots_vegan_inescop,TF-IDF from product metafields
metafield_custom_certificao_leather_working_group,TF-IDF from product metafields
metafield_custom_certificao_peta_approved_vegan,TF-IDF from product metafields
metafield_custom_certificao_better_cotton_initiative_globa,TF-IDF from product metafields
metafield_custom_certificao_grs_recycled_cotton_line_globa,TF-IDF from product metafields
metafield_custom_certificao_vegan,TF-IDF from product metafields
metafield_custom_certificao_global_recycled_standard,TF-IDF from product metafields
